name,city,country,iata,icao
Fisher Ranch Airport,Killeen,US,,67TE
Fleck Airport,Decatur,US,,67TT
John R Armstrong Memorial Field,Emory,US,,67TX
Greenbluff Meadows Airport,Mead,US,,67WA
Accurate Airport,Necedah,US,,67WI
J-L Ranch Airport,Bowie,US,,67XA
Heart Of Dixie Aero Estates Airport,Greenville,US,,68AL
Luginbuel Hee Haw Airport,Lincoln,US,,68AR
Music Mountain Air Ranch Airport,Hackberry,US,,68AZ
Lake California Air Park,Cottonwood,US,,68CA
Porter Ranch Airport,Kennedy Meadows,US,,68CN
Maran Airport,Fountain,US,,68FD
Rapoport Ranch Airport,Sandpoint,US,,68ID
Stichnoth Airport,Milford,US,,68IL
Alley Oop Airport,Wheatfield,US,,68IN
Casa De Aero Park Airport,Hampshire,US,,68IS
Willys Lake Airport,Sterling,US,,68KS
Lee's Airpark,Somerset,US,,68KY
Pilkinton Airstrip,Bossier City,US,,68LA
Myrtle Grove Airport,Waterproof,US,,68LS
Stanton Hill Aerodrome,Atwater,US,,68MN
Winstead '76' Airport,Leasburg,US,,68NC
Hall-Feld Airport,Davey,US,,68NE
Thibert Field,Morristown,US,,68NK
Flying H Ranch Airport,Hope,US,,68NM
Don's Place Airpark,Hamburg,US,,68PA
Narrigan Grass Strip,Claysville,US,,68PN
Norris Raun Ranch Airport,El Campo,US,,68TE
Bishop Field,Royse City,US,,68TS
Mc Mahon Field,Zillah,US,,68WA
Utley Airport,Bastrop,US,,68XA
Medlock Field,Davis,US,,69CL
Unicorn Place Airport,Defuniak Springs,US,,69FD
David Gillespie Airport,Marseilles,US,,69IL
Chiles Airpark,Chiles,US,,69KS
Lakeview Airport,Cub Run,US,,69KY
Maas Airstrip,New Boston,US,,69LL
Yaggie Pvt Airport,Breckenridge,US,,69MN
Hess-Mckeown Airport,Higbee,US,,69MO
Flying H Airport,Lambert,US,,69MT
Blazer Airport,Easton,US,,69MU
Hall Airport,Farmington,US,,69MY
Clute's Hilltop Airport,Forest City,US,,69NC
Tengesdal Airport,Maxbass,US,,69ND
Schulze's Airport,Chatfield,US,,69OI
Green Country Airpark,Fairland,US,,69OK
Dick Fisher Airport,Gaston,US,,69OR
Hurst Airport,Newmanstown,US,,69PA
Dean Airport,Corpus Christi,US,,69TA
White Airport,Killeen,US,,69TS
Green Lake Ranch Airport,Bloomington,US,,69TX
Brushy Creek Airport,Whitesboro,US,,69XS
Platinum Mine Airport,Platinum,US,,6AK1
Sleepers Strip,Point Mackenzie,US,,6AK2
Butler Aviation Airport,Kenai,US,,6AK3
Fire Island Airport,Anchorage,US,,6AK5
Rainbow Heights Estates Airstrip,Wasilla,US,,6AK7
Tulakes Airport,Wasilla,US,,6AK8
Cizek North Airport,Wasilla,US,,6AK9
Lay Landing Airport,Vincent,US,,6AL3
Hawthorn Pines Airport,Chatom,US,,6AL6
Cypress Creek Airpark,El Paso,US,,6AR0
Elder Airstrip,Cave Springs,US,,6AR1
Pine Mountain Airpark,Flippin,US,,6AR9
Wisky Ranch/Chevlon Airport,Heber,US,,6AZ2
Flying Diamond Airport,Tucson,US,,6AZ8
Triple R Ranch Airport,Macdoel,US,,6CA1
Valley Vista Airport,Yucca Valley,US,,6CA5
Eagle Ridge Ranch Airport,Railroad Flat,US,,6CA6
Depue Airport,Lenwood,US,,6CA8
Harley Airport,Stockton,US,,6CL8
Burnham Field,Wellington,US,,6CO1
Mesawood Airport,Cedaredge,US,,6CO2
Skywagon Ranch Airport,Berthoud,US,,6CO6
Happy Butt Airport,Byers,US,,6CO7
Windy Acres Airport,Chiefland,US,,6FD0
Big Oaks Ranch Airport,Chuluota,US,,6FD2
Blanket Bay Airport,Yeehaw Junction,US,,6FD5
Rose Ranch Airport,Eustis,US,,6FD6
Thomson Airfield,Ellenton,US,,6FD7
Payson Ranch Airport,Punta Gorda,US,,6FL3
Sylvanmir Farms Airport,Keaton Beach,US,,6FL4
Ames Field,Trenton,US,,6FL8
Saw Whet Farms Airport,Bell,US,,6FL9
Stoney Point Field,Cumming,US,,6GA0
Fagundes Field,Haralson,US,,6GA1
Spring Valley Farm Airport,Loganville,US,,6GA4
Kolibri Airport,Whitesburg,US,,6GA5
Flying W Farms Airport,Carrollton,US,,6GA8
Rainbow Field,Woodland,US,,6GE2
M K Field,Hogansville,US,,6GE4
Wells Field,Corydon,US,,6IA6
R S  Auto Airport,Lockridge,US,,6IA7
Regan Ranch Airport,Coeur D'Alene,US,,6ID1
Willis Site Nr 2 Airport,Greenfield,US,,6II2
Bergs Airport,Lizton,US,,6II7
Godahavit Airport,Wheatland,US,,6II8
Hoerr Rla Airport,Peoria,US,,6IL0
Phyllis Field,Huntley,US,,6IL2
Foxfield Aerodrome,Lanark,US,,6IL4
Keil Airport,Dongola,US,,6IL5
Kingfield Airport,Knoxville,US,,6IL6
Kleinik Airport,Nokomis,US,,6IL7
Geldean Airport,Walnut,US,,6IL9
Whelen Airport,Waldron,US,,6IN2
Wyandotte Airport,Lafayette,US,,6IN3
Fischer Field,Waldron,US,,6IN4
Pegasus Farms Airfield,Monrovia,US,,6IN6
Mcminn Airport,Rushville,US,,6IN8
Day Aero-Place Airport,Urbana,US,,6IS0
Trisler Airport,Homer,US,,6IS8
Stevenson Private Airport,Selden,US,,6KS2
Bussen Airport,Sharon Springs,US,,6KS4
Flying C Farms Airport,Shelbyville,US,,6KY3
Adair Airport,Fountain Run,US,,6KY4
Jeffries Farm Airport,Louisville,US,,6KY6
Cottonwood Airport,Lake Providence,US,,6LA1
Capozzoli Airport,Prairieville,US,,6LA2
Dyer Airport,Oakdale,US,,6LA4
Church Point Flyers Airport,Church Point,US,,6LA5
Williams Flying Service Airport,Winnsboro,US,,6LA6
Williamson Airport,Neoga,US,,6LL0
Young Airport,Viola,US,,6LL2
Wildy Field,New Athens,US,,6LL4
Smith Airport,New Berlin,US,,6LL5
Fischer's Airport,New Memphis,US,,6LL6
Meadowbrook Airport,Amesbury,US,,6MA2
Dileo Field,Denton,US,,6MD1
Harp Airport,Wolfsville,US,,6MD3
Pembroke Farm Airport,Conowingo,US,,6MD4
D'Angelo Airport,Golts,US,,6MD7
Delmarvair Airport,Pittsville,US,,6MD8
Abbotts Airport,East Sumner,US,,6ME6
Jensen Field,Millington,US,,6MI1
Curt's Place Airport,Zeeland,US,,6MI3
Landing Strip De Rey Rey Airport,Buchanan,US,,6MI6
J P's Field,Zeeland,US,,6MI7
Sky Blue Airfield,Ponsford,US,,6MN0
Sodbuster Strip,Goodhue,US,,6MN7
Underland Airstrip,Medford,US,,6MN8
Benson Airport,White Bear Township,US,,6MN9
Blackhawk Airport,Old Monroe,US,,6MO0
Ste Genevieve Flying Club Airport,Ste Genevieve,US,,6MO2
Flying 'E' Airport,Houston,US,,6MO3
Wixted Airport,Osceola,US,,6MO4
Riverside Landings Airport,Ozark,US,,6MO7
Woodbridge Airport,Brandon,US,,6MS1
Kaehr Airport,Brandon,US,,6MS6
Flying Shamrock Airport,Mexico,US,,6MU4
Carp Farms Airport,Norborne,US,,6MU5
Craddock Field,Licking,US,,6MU9
Chase Airstrip,Hebron,US,,6NA5
Marsh Brothers Airstrip,Newburg,US,,6NA6
Cox-Grantham Airfield,Grantham,US,,6NC0
Little Mountain Airport,Denver,US,,6NC1
Wilhelm Airport,Kannapolis,US,,6NC2
Eastover Air Ranch Airport,Fayetteville,US,,6NC3
Brown Airport,Taylorsville,US,,6NC4
Thompson Farms Airport,Whitakers,US,,6NC5
Circle P Farm Airport,Newport,US,,6NC7
Marchmont Plantation Airpark,Advance,US,,6NC8
Moss Hill Airport,Kinston,US,,6NC9
Larson Airport,Fullerton,US,,6ND2
Lisburg Airport,Argusville,US,,6ND3
Fugleberg Farm Airport,Portland,US,,6ND6
Skinningsrud Airport,Berthold,US,,6ND9
Van Boening Airport,Wallace,US,,6NE0
Beaver Landing Airport,Tekamah,US,,6NE3
Lee Field,Bartley,US,,6NE7
Hoppy's Airport,Benkelman,US,,6NE8
Bridgeport-Cahill Field,Bridgeport,US,,6NJ9
Knapp Airport,Schenevus,US,,6NK0
Patton Valley Airport,Nebo,US,,6NR6
Old Port Royal Airport,Corning,US,,6NY1
Airy-Acres Airport,Interlaken,US,,6NY3
West Township Airport,Knox,US,,6NY4
Piolis Brookside Airport,Kerhonkson,US,,6NY7
Sky Wagon Ranch Llc Airport,Klamath Falls,US,,6OG3
Missler-Bellevue Airport,Bellevue,US,,6OH1
Aring Field,Bowling Green,US,,6OH4
Nietz Airport,Bowling Green,US,,6OH7
Kemps Field Of Dreams Airport,Covington,US,,6OH9
White Airport,Kingfisher,US,,6OK0
John Reid Airport,Tahlequah,US,,6OK1
Redhills Airport,Chickasha,US,,6OK2
Johnson Field,Meno,US,,6OK3
Mulberry Hill Airport,Stillwater,US,,6OK9
Pointers Airport,The Dalles,US,,6OR1
Chenoweth Airpark,The Dalles,US,,6OR2
Tailwheel Airport,Prineville,US,,6OR4
Wonder Airport,Wonder,US,,6OR6
Schmidt Airport,Boring,US,,6OR7
Knokey Field,Lebanon,US,,6OR8
Hackenburg-Penny Hill Airport,Montgomery,US,,6PA3
Scandia Air Park,Russell,US,,6PA4
Botsford Aerodrome,Shippensburg,US,,6PA5
Air Haven Airport,Moscow,US,,6PA6
Tall Pines Airfield,Lock Haven,US,,6PA8
Mc Donald's Airport,Brandonville,US,,6PN9
Champ Field,Knoxville,US,,6PS3
Tyler Airport,New Milford,US,,6PS8
Xpoint Airport,Edgemont,US,,6SD4
Rocking R Ranch Airport,Eldorado,US,,6TA0
Flying Tiger Field,Leonard,US,,6TA2
Culp Airport,Lawrence,US,,6TA3
Spears Ranch Airport,Jarrell,US,,6TA8
Anderson Ranch Airport,Dilley,US,,6TA9
Skalitsky Airport,Edcouch,US,,6TE0
Hahns Airport,Edna,US,,6TE3
Circle Wc Ranch Airport,Bogata,US,,6TE4
Kubecka Flying Service Inc Airport,Edna,US,,6TE5
6666 Ranch Airport,Guthrie,US,,6TE6
Mc Neill Ranch Airport,Wayside,US,,6TE7
Weakleys Field,Pleasantview,US,,6TN1
The Aviation Valley Airport,Tullahoma,US,,6TN4
Levairport Airport,Pulaski,US,,6TN5
St Somewhere Airport,Grand Junction,US,,6TN7
Dripping Springs Farm Airport,Burns,US,,6TN9
True Airport,Plainview,US,,6TS0
Worrell Airport,Kempner,US,,6TS1
Dauenhauer Field,Boyd,US,,6TS2
Stampede Valley Airport,Moffat,US,,6TS4
Rabb And Nobra Airport,Industry,US,,6TS8
Snowden Field,Mason,US,,6TX1
Rancho Sabino Grande Airport,Utopia,US,,6TX2
Whitfield Airport,Kress,US,,6TX4
Jtj Ranch Airport,Corsicana,US,,6TX6
Flying L Airpark,Mansfield,US,,6TX7
Stovall Ranch Nr 4 Airport,Marathon,US,,6TX9
Loury Lester Airpark,Martinsville,US,,6VA2
Summit Airport,Salem,US,,6VA4
Bush Airport,Woolwine,US,,6VA9
Gower Field,Olympia,US,,6WA2
Green Acres Airport,Basin City,US,,6WA3
Ochoa Field,Othello,US,,6WA4
Wilding Farm Airport,Shaw Island,US,,6WA5
Carr Airport,Pasco,US,,6WA6
Cub Acres Airport,Prairie Farm,US,,6WI0
Winch Airfield,Wisconsin Rapids,US,,6WI1
St Croix Riviera Airport,River Falls,US,,6WI2
Bountiful Acres Airport,Delavan,US,,6WI3
Saxon Airport,Saxon,US,,6WI4
Drew 9 Airport,Birchwood,US,,6WI6
Airwolfe Airport,Stockholm,US,,6WN5
Fountain Prairie Airport,Columbus,US,,6WN6
Circle Ranch Airport,Fredericksburg,US,,6XA0
Zadow Air Airport,Waller,US,,6XA4
Luscombe Acres Airport,Alvarado,US,,6XS2
Pfeffer 2 Airport,Waller,US,,6XS4
Eugene's Dream Airport,Springtown,US,,6XS7
Harmony Field,Elmendorf,US,,6XS9
Bangerter Field,Soldotna,US,,70AK
Randal Field,Gosnell,US,,70AR
Wee Bee Sky Ranch Airport,Vero Beach,US,,70FA
Nasby Airport,Shelbyville,US,,70II
Murphy Farms Airport,Farmersville,US,,70IL
Lewis Airfield,Milan,US,,70IN
Bannon Field,Douglass,US,,70KS
Vine Grove Airport,Vine Grove,US,,70KY
Roland Airport,Hineston,US,,70LA
Adams Number 1 Airport,Pontiac,US,,70LL
Lovers Lane Airport,Garden City,US,,70MO
Martindale Executive Airpark,Paschall,US,,70NC
Oak Creek Airport,Sawyer,US,,70ND
Parker Airport,Asbury,US,,70NJ
Ruby's Landing Airport,Newton Grove,US,,70NR
Old 66 Strip,Miami,US,,70OK
Sanders Personal Use Airport,Sugar Grove,US,,70PN
Zoch Airport,Centerville,US,,70TA
Claassen Airport,Blue Ridge,US,,70TE
Big Bend Valley Airport,Terlingua,US,,70TT
Burnt Chimney Airport,Burnt Chimney,US,,70VA
Looney Airstrip,New Boston,US,,70XA
Restoration Ranch Airport,Wimberley,US,,70XS
Bluff Park Farm Airport,Wasilla,US,,71AK
Diamond C Airport,Gentry,US,,71AR
Gunnersfield Ranch Airport,Delevan,US,,71CL
Stonehenge Airport,Williamstown,US,,71KS
Sunrise Acres Airport,Petersburg,US,,71KY
Lost Airfield,Church Point,US,,71LA
Riverode Farms Airport,Pontiac,US,,71LL
Twin Eagles Airport,Naples,US,,71ME
Johnston Airport,Belleville,US,,71MI
Famuliner Farms Airport,Wakenda,US,,71MO
K & D Airport,Elon College,US,,71NC
Neuwirth Airstrip,Lawton,US,,71OK
Cerny Airport,Seneca,US,,71OR
Schulteis Field,New Oxford,US,,71PN
Moursund Ranch Airport,Round Mountain,US,,71TE
Kraschenbern Airport,Baileyton,US,,71TN
Fairmount Airport,Fairmount,US,,71TS
Grier Airport,Boerne,US,,71TX
Red Star Airport,Murchison,US,,71XA
Comanche Hills Ranch Airport,Lampasas,US,,71XS
Iron Mountain Pumping Plant Airport,Desert Center,US,,72CL
Gator Airpark,St Cloud,US,,72FL
Barbour Island Airport,Shellman Bluff,US,,72GA
River View Field,Demotte,US,,72IN
Hillbillies Airport,Beverly,US,,72KS
Carr Airport,Williamsburg,US,,72KY
Foley Airport,Princeton,US,,72LL
Philbrick Mountain Airport,Ellsworth,US,,72ME
Northwoods Airport,Watersmeet,US,,72MI
Sunnys Field,Leslie,US,,72MO
Berg Field,Northwood,US,,72ND
Otero Mill Airport,La Luz,US,,72NM
Ochs Private Airport,Madras,US,,72OR
Pierce Field,Port O'Connor,US,,72TA
Chaparrosa Ranch Airport,La Pryor,US,,72TE
Galaxy Ranch Airport,Sheridan,US,,72TS
Stiffs Airpark,Beasley,US,,72XA
Whitaker's Landing Airport,Paris,US,,72XS
Dogwood Airport,Cabot,US,,73AR
Dunton Ranch Airport,Kingman,US,,73AZ
Bear Valley Airport,Bear Valley,US,,73CA
Julian Hinds Pump Plant Airstrip,Desert Center,US,,73CL
Flying D Ranch Airport,Walsenburg,US,,73CO
Brookins Air Strip,Chiefland,US,,73FD
Harris Field,Mason City,US,,73IA
Benham Airport,Lyons,US,,73IN
Brooks Field,Brooks,US,,73KY
Swan Creek Airport,Rock Hall,US,,73MD
Olmstead Landing Strip,Masonville,US,,73NY
Thompson Drag Raceway Airport,Thompson,US,,73OH
Rick's Airport,Montville,US,,73OI
Spring Creek Ranch Airport,Tishomingo,US,,73OK
Ribbon Ridge Airport,Newberg,US,,73OR
Gilbert Airport,York,US,,73PA
Finkhaven Airport,Trout Run,US,,73PN
Reynolds Ranch Airport,Bayview,US,,73TA
Moore Pvt Airport,Azle,US,,73TE
Sandy Creek Airport,New Waverly,US,,73TX
7 Bays Airport,Davenport,US,,73WA
Vetterkind Strip,New Auburn,US,,73WI
Mc Gregor Airport,Hooper,US,,73WT
Tres Amigos Airport,Garden City,US,,73XA
Second F Airport,Garden City,US,,73XS
Maud Road Strip,Palmer,US,,74AK
Freedom Field,Woodson,US,,74AR
Rancho San Marcos Airport,Tombstone,US,,74AZ
Flying Gluepie Ranch Airport,Fiddletown,US,,74CA
Camatta Ranch Airstrip,Paso Robles,US,,74CN
Westberg-Rosling Farms Airport,Roggen,US,,74CO
Clarksville Airport,Clarksville,US,,74FD
Jefferson Landings Airport,Monticello,US,,74FL
Johnson Airport,Luthersville,US,,74GA
Corn Alley 2 Airport,El Paso,US,,74IL
Ensminger Airport,Moran,US,,74KS
Terry Field,Cunningham,US,,74KY
Koala-T Field,Hawk Point,US,,74MU
Benton Farm Airport,Whartonville,US,,74NC
Sunside Airport,Cairo,US,,74NK
New Salem Aerodrome,Farmington,US,,74NY
Pegasus Airpark,Guthrie,US,,74OK
Flat Top Ranch Airport,Walnut Springs,US,,74TE
Fort Clark Springs Airport,Brackettville,US,,74TX
Gun Barrel City Airpark,Gun Barrel City,US,,74XA
Henley Airport,Kenai,US,,75AK
The Bluffs Airport,Henderson,US,,75AR
Oakesdale Airport,Oakesdale,US,,75DC
Sandy Creek Airpark,Panama City,US,,75FL
Fulton Field,Covington,US,,75IN
7Up Ranch Airport,Bartlett,US,,75KS
Hisle Field,Winchester,US,,75KY
Norton Field,Riley,US,,75MI
Galler's Airport,Elysian,US,,75MN
Heaton Airport,Fort Calhoun,US,,75NE
Hamptonville Airport,Hamptonville,US,,75NR
Reiss Game Farm Airport,Olean,US,,75NY
Darby Dan Airport,Columbus,US,,75OA
Hickerson Airport,Springfield,US,,75OH
Soltis Field,Marion,US,,75OI
Marther Field,Albion,US,,75PA
Coleman Cattle Company Nr 1 Airport,Ackerly,US,,75TA
Womack Farm Airport,Waco,US,,75TE
Venus Airport,Venus,US,,75TS
Leona Ranch Airport,Brackettville,US,,75TX
Port Elsner Airport,White Salmon,US,,75WA
Smies Airport,Cedar Grove,US,,75WI
Nicholson Airport,West Union,US,,75WV
Rocking B Cattle Airport,Coldspring,US,,75XA
Rowland Dusters Airport,Lasara,US,,75XS
Pogo Mine Airstrip,Delta Junction,US,,76AK
Johnson Field,Mountain Home,US,,76AR
Hoy Airstrip,Bennett,US,,76CO
Peavy Farms Airport,Havana,US,,76FD
Landings East Sylvania Airport,Sylvania,US,,76GA
Ries Airport,Laotto,US,,76II
Vintage Field,Newton,US,,76KS
Buzzard's Roost Airport,Lawrenceburg,US,,76KY
Cool Creek Airport,Kentwood,US,,76LS
Hemmingsen Airport,Erskine,US,,76MN
Dunroamin Farms Airport,Enfield,US,,76NC
Odom's Roost Airport,Newcastle,US,,76OK
Postoak Airport,Lampasas,US,,76TA
Big Tank Ranch Airport,Salt Flat,US,,76TE
Heineck Farm Airport,Everett,US,,76WA
Hacklander Airport,Janesville,US,,76WN
High Lonesome Airport,Rosanky,US,,76XA
Tidewater Airport,Wasilla,US,,77AK
Benoit Airfield,Hot Springs,US,,77AR
Daulton Airport,Madera,US,,77CA
Baker & Hall Airport,Dunlap,US,,77CL
Toland Airport,Milner,US,,77GA
Ashley Airport,Meridian,US,,77ID
Riverbend Ranch Airport,Augusta,US,,77KS
One Oak Airport,Mount Sterling/Owingsville,US,,77KY
Doren Field,Cedar Springs,US,,77MI
Klamar Field,Gatzke,US,,77MN
Springhill Airport,Mount Vernon,US,,77MO
Winnabow Airport,Winnabow,US,,77NC
Flying Eagle Airport,Reno,US,,77NV
Nardo Airport,Allison Park,US,,77PA
Gilfert Airport,Benfer,US,,77PN
Sword's Landing Airport,Greenville,US,,77TA
Foggy Bottom Airport,Winnsboro,US,,77TE
Darnell's Field,Church Hill,US,,77TN
Flying R Ranch Airport,New Braunfels,US,,77TS
Circle W Ranch Airport,Weatherford,US,,77TX
Xl Ranch Airport,Winnie,US,,77XA
Garrett Ranch Airport,Danbury,US,,77XS
Lakewood Airport,North Pole,US,,78AA
C T S Airport,Willow,US,,78AK
Mac's Field,Homestead,US,,78FD
Pomona Landing Airport,Pomona Park,US,,78FL
C&R Farm Airport,Carrollton,US,,78GA
Fox Station Airport,La Fontaine,US,,78II
Mountain View Airfield,Winchester,US,,78KY
Naquin Field,Raceland,US,,78LA
Eric's Field,Falmouth,US,,78ME
Carls Airport,South Rockwood,US,,78MI
Hagens Airport,Gatzke,US,,78MN
Snouffer Field,Lynchburg,US,,78MO
Stony Branch Airport,Jasper,US,,78MU
Fuquay/Angier Field,Fuquay/Varina,US,,78NC
Stava Airport,Brainard,US,,78NE
Flying F Airport,Pendleton,US,,78NY
Valley City Flying Club Airport,Valley City,US,,78OH
Crowley Ranch Airstrip,Crowley,US,,78OR
Ranch-Aero Airport,Bigfoot,US,,78TA
Center Island Airport,Center Island,US,CWS,78WA
Wayport Airport,Millsap,US,,78XA
Smith Aviation Inc Airport,Danevang,US,,78XS
Huttunen Strip,Wasilla,US,,79AK
Franke Field,Jacksonville,US,,79AR
Milhous Ranch Airport,North San Juan,US,,79CL
Midway Lake Airport,Plant City,US,,79FD
Neal Field,Chiefland,US,,79FL
Coates Airport,Fort Gaines,US,,79GA
Clear Creek Int Airport,Kooskia,US,,79ID
Harter Flying Field,Greenfield,US,,79II
Hartwell Ranch Airport,Hillview,US,,79IS
Lucas Field,Nicholasville,US,,79KY
Davis Field,Jerome,US,,79MI
Paul Field,Gatzke,US,,79MN
Faries Field,Williamsville,US,,79MO
Dunham Airport,Smithville,US,,79MU
Ball Airport,Louisburg,US,,79NC
Smith-Stewart Field,Vienna,US,,79OH
Wilson Ranch Airport,Sperry,US,,79OK
Arrowhead Airport,Lagarto,US,,79TE
Tallows Field,Celina,US,,79TS
Spring Creek Field,Iredell,US,,79TX
Perkey Airport,Eagle Rock,US,,79VG
Rnr Farms Airport,Cathlamet,US,,79WA
Moose Creek Farm Airport,Argyle,US,,79WS
West Ranch Airport,Ellensburg,US,,79WT
Hacienda Rio Lindo Ranch Airport,Ozona,US,,79XA
Silverton Municipal Airport,Silverton,US,,79XS
Snettisham Airport,Snettisham,US,,7AK2
Gaede Airport,Soldotna,US,,7AK3
Jack Fish Landing Airport,Wasilla,US,,7AK4
Dahler Homestead Airport,Soldotna,US,,7AK5
Dan France Airport,Soldotna,US,,7AK6
Hess Airport,Wasilla,US,,7AK8
Vinduska Airport,Palmer,US,,7AK9
Peterson Field,Steele,US,,7AL2
Liberty Field,Pinckard,US,,7AL5
Pratt Landing Airport,Madrid,US,,7AL7
Horak Airport,Elberta,US,,7AL9
Hammer Field,Eureka Springs,US,,7AR0
Wards Airport,Eudora,US,,7AR1
Verser's Landing Airport,Greers Ferry,US,,7AR2
Runsick Flying Service Airport,Colt,US,,7AR3
Rbc Airport,Jonesboro,US,,7AR6
Riddell Field,Elaine,US,,7AR7
Shiloh Airport,Holly Grove,US,,7AR8
Cullen Airport,Jonesboro,US,,7AR9
Rancho Relaxo Airport,Pearce,US,,7AZ4
Abraham Ranch Airport,Lucerne Valley,US,,7CA1
Paradise Lakes Airport,Bakersfield,US,,7CA2
Perryman Airport,Placerville,US,,7CL9
Parkland Airport,Erie,US,,7CO0
Ranger Ranch Airport,Montrose,US,,7CO2
Buffalo Airport,Franktown,US,,7CO3
Koch Field,Arriba,US,,7CO4
Vantage View Airport,Rush,US,,7CO6
West Pueblo Airport,Pueblo West,US,,7CO8
Sugar Loaf Shores Airport,Key West,US,,7FA1
Lykes Moore Haven Airport,Moore Haven,US,,7FA2
Flying L Airport,Fort Denaud,US,,7FA3
Lakeview Airstrip,Monticello,US,,7FA8
Lykes Fort Basinger Airport,Lorida,US,,7FD1
Drake Ranch Airport,Hernando,US,,7FD2
Loxahatchee Airport,Lake Worth,US,,7FD6
Estherbrook Aerodrome,Madison,US,,7FD9
Haller Airpark,Green Cove Springs,US,,7FL4
Spruce Creek Airport,Daytona Beach,US,,7FL6
Lazy S Farm Airport,High Springs,US,,7FL7
Dragonfly Airport,Fort Pierce,US,,7FL8
Alyssas Animal Sanctuary Air Park,Valdosta,US,,7GA2
Hacienda De Gay Airstrip,Garfield,US,,7GA3
Danville Airpark,Danville,US,,7GA4
Berry Hill Airport,Stockbridge,US,,7GA7
Smisson Field,Whitesburg,US,,7GA9
Sunset Strip,Centralhatchee,US,,7GE5
Rough Country Airport,Greenville,US,,7GE7
Mitchell Field,New Hampton,US,,7IA7
Schroeder Private Airport,Mount Vernon,US,,7II3
Mussman Airport,Grant Park,US,,7IL0
Edward Getzelman Airport,Hampshire,US,,7IL7
Cody Port Airport,Harding,US,,7IL8
Friends Field,Serena,US,,7IL9
Flying Crown Airport,Hamilton,US,,7IN2
Garrett Field,Poseyville,US,,7IN3
Myers Farm Airport,Livonia,US,,7IN6
Gary Johnson Field,West Lebanon,US,,7IN7
The Last Resort Airport,Springport,US,,7IN9
Aero Estates Airport,Belleville,US,,7IS2
Hooterville Airport,Clinton,US,,7IS3
Koppie Airport,Gilberts,US,,7IS5
Hammock Field,Alhambra,US,,7IS7
Flying T Airport,Oskaloosa,US,,7KS0
Cloud Airport,Overbrook,US,,7KS2
Youvan Airport,Arma,US,,7KS3
Bent Nail Ranch Airport,Horton,US,,7KS4
Kennedy Airport,Minneola,US,,7KS7
Eagle Field,Bentley,US,,7KS9
Little Mount International Airport,Taylorsville,US,,7KY3
Valverda Strip,Maringouin,US,,7LA0
Birdwin Airport,Port Sulphur,US,,7LA1
Kibs Air Park,Bristol,US,,7LA4
Chute N Gators Airport,Bell City,US,,7LA9
Jasper County Flying Club Airport,Newton,US,,7LL3
Delhotal Airport,West Brooklyn,US,,7LL7
Magennis Farm Airport,Federalsburg,US,,7MD1
Boomers Field,Pocomoke,US,,7MD7
Kent Fort Manor Airport,Stevensville,US,,7MD8
Tilghman Whipp Airport,Tilghman,US,,7MD9
Southwest Lakes Airpark,Sawyer,US,,7MI2
Thrall Lake Airport,Vicksburg,US,,7MI3
Wightman Airport,Oakley,US,,7MI6
Walker Airport,Cooper,US,,7MI7
Letts Field,Vassar,US,,7MI8
Caldbeck Field,Spring Valley,US,,7MN3
Mille Lacs Lake Airport,Garrison,US,,7MN4
Johnson Airport,Argyle,US,,7MN6
Willis Airport,Thief River Falls,US,,7MN8
Wood Acres Airport,Perry,US,,7MO1
B S Ranch Airport,Pineville,US,,7MO3
Flintlock Field,Platte City,US,,7MO4
Mcguire Airfield,Golden City,US,,7MO7
Eagle Crest Estates Airport,Canton,US,,7MS1
Maidment Field,Byhalia,US,,7MS3
Cloud 9 Airport,Canton,US,,7MS4
Freebird Airport,Bolton,US,,7MS7
Petes Airport,Dexter,US,,7MY9
Undlin Airstrip,Lansford,US,,7NA2
Ingebretson Airspray Airport,Mayville,US,,7NA4
Sjule Pvt Airstrip,Souris,US,,7NA9
Stag Air Park,Burgaw,US,,7NC1
Pine Island Airport,Corolla,US,DUF,7NC2
Kenly Airport,Kenly,US,,7NC3
Crooked Creek Airport,Bunn,US,,7NC5
Lewis Airstrip,Walnut Cove,US,,7NC7
Spencer Field,Asheboro,US,,7NC9
Wolberg's Private Airport,Dickinson,US,,7ND1
Buchmiller Airport,Bowdon,US,,7ND5
Forest Airport,Langdon,US,,7ND8
Lierley Farms Airport,Paxton,US,,7NE5
Ne Hitchcock Airport,Culbertson,US,,7NE8
Stoe Creek Farm Airport,Canton,US,,7NJ2
Dave's Aerodrome,Cedarville,US,,7NJ9
Valley View Airport,Middleburgh,US,,7NK0
Ridge Road West Airport,Spenceport,US,,7NK4
Blueberry Field,Treadwell,US,,7NK6
Morin Airport,Sherburne,US,,7NK7
Mesa Verde Ranch Strip,Alamogordo,US,,7NM1
Geyser Ranch Airport,Ely/Pioche,US,,7NV8
Gar Field,Esperance,US,,7NY1
Sherwood Farm Airport,Johnsonville,US,,7NY6
Iwan Airfield,Amsterdam,US,,7NY8
Skydive Greene County Inc Airport,Xenia,US,,7OA7
Rauhaus Field,Valley City,US,,7OH1
Canal Fulton Airport,Canal Fulton,US,,7OH2
Obi One Airport,Delaware,US,,7OH3
Mahoning County Joint Vocational School Airport,Canfield,US,,7OH5
Heathcliff Airpark,Loudonville,US,,7OH7
Curtis Airport,Chardon,US,,7OH8
